Date,open,high,low,close,volume
2016-07-11,8265.7998046875,8319.7001953125,8168.7001953125,8305.099609375,245091400
2016-07-12,8313.7998046875,8528.2998046875,8292.599609375,8506.0,376504700
2016-07-13,8471.900390625,8580.2998046875,8426.400390625,8473.900390625,384221700
2016-07-14,8563.7001953125,8593.7998046875,8454.2001953125,8552.2998046875,271812400
2016-07-15,8527.2998046875,8582.2998046875,8446.2001953125,8531.0,264729100
2016-07-18,8552.900390625,8609.099609375,8446.2998046875,8524.400390625,208110000
2016-07-19,8490.7001953125,8559.0,8439.2998046875,8485.2001953125,221863600
2016-07-20,8556.0,8576.599609375,8470.2998046875,8575.5,228569300
2016-07-21,8589.2998046875,8620.900390625,8501.0,8583.599609375,274297800
2016-07-22,8566.2998046875,8618.900390625,8516.2998046875,8599.900390625,299865000
2016-07-25,8605.7001953125,8647.599609375,8537.099609375,8575.7001953125,187645100
2016-07-26,8574.5,8587.2998046875,8485.7998046875,8560.2001953125,214209300
2016-07-27,8593.599609375,8720.2001953125,8581.599609375,8661.400390625,240186300
2016-07-28,8630.0,8659.099609375,8479.2001953125,8479.2001953125,256587100
2016-07-29,8525.099609375,8619.0,8505.599609375,8587.2001953125,293413200
2016-08-01,8667.5,8679.099609375,8496.7998046875,8513.400390625,258295400
2016-08-02,8495.599609375,8498.2001953125,8256.599609375,8277.2998046875,342281900
2016-08-03,8319.099609375,8329.7001953125,8229.400390625,8263.5,244861000
2016-08-04,8324.099609375,8424.599609375,8318.599609375,8385.5,214141800
2016-08-05,8422.400390625,8552.5,8422.0,8539.400390625,179769100
2016-08-08,8573.5,8632.400390625,8548.099609375,8562.5,171197100
2016-08-09,8541.099609375,8673.900390625,8531.7998046875,8665.400390625,166826100
2016-08-10,8610.5,8688.599609375,8598.7001953125,8658.900390625,187369700
2016-08-11,8699.0,8719.5,8626.5,8719.5,142879200
2016-08-12,8704.5,8747.599609375,8698.0,8716.400390625,123766500
2016-08-15,8711.0,8753.599609375,8694.599609375,8720.599609375,81080100
2016-08-16,8689.0,8714.2998046875,8621.7001953125,8621.7001953125,153277400
2016-08-17,8646.2001953125,8652.7001953125,8485.599609375,8487.0,154959300
2016-08-18,8549.2001953125,8555.099609375,8481.2998046875,8550.099609375,166802000
2016-08-19,8556.2001953125,8556.2998046875,8393.5,8450.599609375,162782700
2016-08-22,8431.2998046875,8522.7998046875,8407.599609375,8468.0,135099200
2016-08-23,8512.7998046875,8602.400390625,8506.2998046875,8580.900390625,163441900
2016-08-24,8532.0,8665.900390625,8509.7998046875,8655.5,196134900
2016-08-25,8612.2998046875,8628.099609375,8555.0,8599.5,132154700
2016-08-26,8595.7001953125,8673.900390625,8566.5,8659.5,125654500
2016-08-29,8611.2001953125,8660.900390625,8573.7001953125,8616.400390625,98605500
2016-08-30,8629.400390625,8731.900390625,8629.0,8685.400390625,155905500
2016-08-31,8677.400390625,8780.7001953125,8671.400390625,8716.7998046875,297356800
2016-09-01,8746.2998046875,8884.900390625,8730.7998046875,8762.7998046875,300780300
2016-09-02,8789.900390625,8912.599609375,8743.2001953125,8908.900390625,227596500
2016-09-05,8928.400390625,8979.2998046875,8913.5,8953.2998046875,153716100
2016-09-06,8991.400390625,8996.2998046875,8893.900390625,8899.5,187938400
2016-09-07,8931.7998046875,9021.900390625,8908.7001953125,9015.2998046875,206123200
2016-09-08,9028.599609375,9115.599609375,8974.900390625,9101.099609375,251730200
2016-09-09,9065.5,9135.7998046875,9004.7998046875,9025.5,232053100
2016-09-12,8877.099609375,8880.7001953125,8790.7998046875,8866.599609375,243739800
2016-09-13,8907.2001953125,8924.0,8724.2001953125,8724.2001953125,216031400
2016-09-14,8769.900390625,8779.599609375,8684.2001953125,8702.400390625,232216100
2016-09-15,8697.0,8742.7998046875,8665.400390625,8720.5,214617800
2016-09-16,8700.900390625,8725.099609375,8603.2998046875,8633.400390625,406191900
2016-09-19,8723.5,8736.2998046875,8689.5,8715.5,185972500
2016-09-20,8695.099609375,8735.2001953125,8649.5,8686.099609375,167672000
2016-09-21,8817.0,8837.400390625,8748.0,8758.5,247434800
2016-09-22,8819.7998046875,8966.099609375,8815.2998046875,8934.900390625,279394200
2016-09-23,8885.900390625,8893.900390625,8785.7998046875,8823.599609375,315879000
2016-09-26,8765.400390625,8765.400390625,8630.0,8711.400390625,261947400
2016-09-27,8776.0,8781.0,8634.2001953125,8688.2001953125,268218800
2016-09-28,8744.0,8806.5,8715.7998046875,8740.400390625,196357700
2016-09-29,8834.0,8864.7998046875,8778.400390625,8796.2998046875,226720500
2016-09-30,8649.0,8805.400390625,8543.099609375,8779.400390625,452000800
2016-10-03,8759.0,8788.900390625,8707.2001953125,8751.599609375,157193600
2016-10-04,8769.0,8810.099609375,8741.2001953125,8769.0,212647000
2016-10-05,8691.2998046875,8788.2001953125,8669.2998046875,8778.2998046875,243782000
2016-10-06,8820.7998046875,8846.400390625,8742.2998046875,8757.400390625,273331200
2016-10-07,8759.900390625,8762.2998046875,8596.0,8624.2998046875,284890200
2016-10-10,8631.2998046875,8713.7001953125,8566.7001953125,8701.5,200512900
2016-10-11,8690.400390625,8752.599609375,8657.5,8693.2001953125,210898300
2016-10-12,8714.5,8760.0,8677.099609375,8686.5,165217700
2016-10-13,8634.900390625,8634.900390625,8551.2001953125,8608.7001953125,289157500
