symbol,arm,long_thr,exit_thr,n_trades,total_return,sharpe,max_dd,pct_time_in_market
UK100,trend_long,45.0,35.0,47,-0.03001778747688022,-0.1300577377488839,-0.12822568234398157,0.1805940594059406
UK100,trend_long,65.0,35.0,54,-0.12625712889261154,-0.5277876805088828,-0.16401053956273237,0.20752475247524751
UK100,trend_long,55.0,35.0,53,-0.08912875414077448,-0.3675620299566893,-0.1374897584678587,0.2213861386138614
UK100,trend_long,55.0,45.0,54,-0.08824840094521713,-0.3670876869208638,-0.13704245132555626,0.2194059405940594
UK100,trend_long,65.0,45.0,54,-0.11878834004259953,-0.5012689437543336,-0.15785284550953016,0.20633663366336633
UK100,trend_long,65.0,55.0,58,-0.10156980947754235,-0.4449076272534107,-0.1421353415402017,0.2003960396039604
UK100,structure_long,65.0,35.0,0,0.0,0.0,0.0,0.0
UK100,structure_long,65.0,45.0,0,0.0,0.0,0.0,0.0
UK100,structure_long,65.0,55.0,0,0.0,0.0,0.0,0.0
UK100,structure_long,45.0,35.0,96,-0.10176383420613766,-0.27470448197769026,-0.2002214664160905,0.38693069306930694
UK100,structure_long,55.0,35.0,120,-0.27652231746784584,-0.7722447338193218,-0.30804288000732805,0.39841584158415844
UK100,structure_long,55.0,45.0,123,-0.22729596713582145,-0.665162316098712,-0.28221281636280016,0.32673267326732675
UK100,momentum_long,45.0,35.0,153,-0.06027271959008007,-0.13563534960116275,-0.11635721107315755,0.4895049504950495
UK100,momentum_long,55.0,35.0,135,-0.13681945500677462,-0.35585032882691264,-0.17894517681425093,0.4752475247524752
UK100,momentum_long,55.0,45.0,154,-0.14368556160820212,-0.39119154976219406,-0.18889260885400516,0.44594059405940595
UK100,momentum_long,65.0,35.0,132,-0.20894311082184935,-0.5887995676075287,-0.27803835813880484,0.45584158415841586
UK100,momentum_long,65.0,45.0,142,-0.19953572416432497,-0.5715572306796717,-0.26529446358881803,0.44356435643564357
UK100,confidence_long,45.0,35.0,68,-0.03429900487159432,-0.11080173418916497,-0.12697129195768142,0.26851485148514853
UK100,confidence_long,55.0,35.0,83,-0.17678866566930795,-0.6131234024883484,-0.20384691775066366,0.3097029702970297
UK100,momentum_long,65.0,55.0,160,-0.16094044279717878,-0.47390381204249576,-0.22680719365673652,0.41148514851485146
UK100,confidence_long,55.0,45.0,84,-0.1467170741725924,-0.5103596493628175,-0.17476375373213304,0.3069306930693069
UK100,confidence_long,65.0,35.0,97,-0.242001823869064,-0.7728667432396239,-0.2783838451776738,0.36356435643564355
UK100,vol_long_dir,45.0,35.0,33,-0.024180603094888453,-0.10715390304271888,-0.07054947958751423,0.12594059405940594
UK100,confidence_long,65.0,45.0,97,-0.23476448905294345,-0.7501887750138464,-0.2714938843761473,0.36356435643564355
