name,symbol,mean_sharpe,mean_return,mean_dd,n_trades
composite_T50_C50_Rmax15,CAC40,-1.0570367190844339,-0.12937052037445093,-0.15613160429910794,196
composite_T50_C50_Rmax15,DAX40,-0.5392274788512355,-0.0642571995699644,-0.10811633975675566,194
composite_T50_C50_Rmax15,FTSE250,-0.7114188038831717,-0.08105633045120345,-0.10172562786497868,180
composite_T50_C50_Rmax15,IBEX35,-0.8174221166364499,-0.047707836652988306,-0.10303744142633386,176
composite_T50_C50_Rmax15,UK100,-1.1765929683662109,-0.12430672764358847,-0.1430670802123728,196
composite_T50_C50_Rmax15,UK100_ETF,-1.2381009330953723,-0.12761844106582745,-0.14389015080387726,194
composite_T50_C50_Rmax5,CAC40,-0.9266150710003581,-0.07251206365468243,-0.08089484494543209,80
composite_T50_C50_Rmax5,DAX40,-0.40629993950420007,-0.03834259372066623,-0.0776362356634811,95
composite_T50_C50_Rmax5,FTSE250,-0.8403967120684576,-0.0671912072624386,-0.08890504590862805,101
composite_T50_C50_Rmax5,IBEX35,-0.4953747941870149,-0.0178096420374656,-0.06784949549198308,87
composite_T50_C50_Rmax5,UK100,-0.9662376234000494,-0.07405886313861937,-0.08681970339028741,94
composite_T50_C50_Rmax5,UK100_ETF,-1.1097786695917686,-0.08411146547816553,-0.09861033763297039,96
composite_T50_C50_noR,CAC40,-0.9673955075982684,-0.119650343813127,-0.13874373733263298,214
composite_T50_C50_noR,DAX40,-0.5726254426725043,-0.063416285730652,-0.09640588907999306,212
composite_T50_C50_noR,FTSE250,-0.6399366210685955,-0.08060580711818727,-0.09575926603600582,202
composite_T50_C50_noR,IBEX35,-0.8147790647542569,-0.05594533486689393,-0.09675810675717136,200
composite_T50_C50_noR,UK100,-1.2264327608699757,-0.12224814874919182,-0.14327182121752086,221
composite_T50_C50_noR,UK100_ETF,-1.3055053066487117,-0.13542855566294806,-0.15175067330954226,227
composite_T50_C60_Rmax15,CAC40,-1.2148763153017947,-0.13370293341598755,-0.15095139003615687,166
composite_T50_C60_Rmax15,DAX40,-0.6328424145872464,-0.06668173804649075,-0.10598220389910556,169
composite_T50_C60_Rmax15,FTSE250,-0.697632560027115,-0.07966957277486114,-0.10138585565241923,158
composite_T50_C60_Rmax15,IBEX35,-0.969892513682674,-0.06461581059189711,-0.104497436446468,154
composite_T50_C60_Rmax15,UK100,-1.1640682070820505,-0.12029384706487711,-0.13682228342150102,171
composite_T50_C60_Rmax15,UK100_ETF,-1.4599426448568922,-0.1494659453404809,-0.16347106243181925,173
composite_T50_C60_Rmax5,CAC40,-0.8846476362627879,-0.06582223835454401,-0.07094711383849348,72
composite_T50_C60_Rmax5,DAX40,-0.5488964876353054,-0.047111641932963216,-0.08118925728174381,88
composite_T50_C60_Rmax5,FTSE250,-0.992824196346587,-0.08018152258605563,-0.09895515181228581,88
composite_T50_C60_Rmax5,IBEX35,-0.5904071324903579,-0.025141286458222833,-0.06410431309516337,77
composite_T50_C60_Rmax5,UK100,-0.8545684648671211,-0.06701361602650263,-0.08286829548105962,84
composite_T50_C60_Rmax5,UK100_ETF,-1.1113782714772835,-0.08147441848309633,-0.09323680156420044,87
composite_T50_C60_noR,CAC40,-0.9311933213143131,-0.10479997771297009,-0.12054769749302546,198
composite_T50_C60_noR,DAX40,-0.5603055658721768,-0.05751953838672694,-0.09234618813022064,205
composite_T50_C60_noR,FTSE250,-0.521240400050146,-0.06190333018363575,-0.08720060280540054,192
composite_T50_C60_noR,IBEX35,-0.7866071162727769,-0.057150874193710205,-0.09042938561063402,187
composite_T50_C60_noR,UK100,-1.0897543503705003,-0.103964298427737,-0.11798769409648854,216
composite_T50_C60_noR,UK100_ETF,-1.2620835936377628,-0.12093670853488409,-0.13545070520498753,221
composite_T50_C70_Rmax15,CAC40,-1.4417537579516968,-0.13464993611635437,-0.1427679900614907,132
composite_T50_C70_Rmax15,DAX40,-1.044635650543916,-0.0901448429650826,-0.11302024824062737,133
composite_T50_C70_Rmax15,FTSE250,-0.42067632637296165,-0.041064727826812114,-0.06634093314345471,111
composite_T50_C70_Rmax15,IBEX35,-1.0391695986075697,-0.06280801171838904,-0.0875825460207724,114
composite_T50_C70_Rmax15,UK100,-1.2208443992330609,-0.10641044775105835,-0.12094521408080391,128
composite_T50_C70_Rmax15,UK100_ETF,-1.2234785504305679,-0.10417406081238265,-0.12045251366454235,132
composite_T50_C70_Rmax5,CAC40,-0.9272418716696995,-0.06157987497749917,-0.06832902411691716,53
composite_T50_C70_Rmax5,DAX40,-0.762605807915962,-0.05515094641196111,-0.08792479783333412,69
composite_T50_C70_Rmax5,FTSE250,-0.4621578998456957,-0.026352730401370622,-0.051347511085928665,57
composite_T50_C70_Rmax5,IBEX35,-0.6196042198130586,-0.0206453115500895,-0.05554014519778719,58
composite_T50_C70_Rmax5,UK100,-0.7456445881181295,-0.051457880993098504,-0.06951043125703668,65
composite_T50_C70_Rmax5,UK100_ETF,-0.8228080493103739,-0.05426334842699668,-0.06936789673136287,64
composite_T50_C70_noR,CAC40,-0.7585394018399189,-0.06619213396410528,-0.08529947010434008,168
composite_T50_C70_noR,DAX40,-0.5325327220394798,-0.04182864074056325,-0.06923324063146044,200
composite_T50_C70_noR,FTSE250,-0.4304141250871366,-0.037695665474763385,-0.06675132842384035,164
composite_T50_C70_noR,IBEX35,-0.4588457302164063,-0.014142234756902794,-0.05649674140301769,158
composite_T50_C70_noR,UK100,-1.089346933901147,-0.07855814572866171,-0.09324845863550957,191
composite_T50_C70_noR,UK100_ETF,-1.1581655116978107,-0.08022865559953715,-0.0946100997643983,191
composite_T60_C50_Rmax15,CAC40,-1.0618087476849336,-0.12831997788077287,-0.15256918752698342,188
composite_T60_C50_Rmax15,DAX40,-0.5562712912500529,-0.06743794397886826,-0.10678286583472088,187
composite_T60_C50_Rmax15,FTSE250,-0.7913440739919458,-0.08711326659785831,-0.10899859831231345,169
composite_T60_C50_Rmax15,IBEX35,-0.7535180354431396,-0.04263958344210919,-0.09386897936990171,163
composite_T60_C50_Rmax15,UK100,-1.1958634000664337,-0.12638557431292732,-0.14368723285670737,189
composite_T60_C50_Rmax15,UK100_ETF,-1.3013225265751915,-0.13331425309338094,-0.15046637048120265,187
composite_T60_C50_Rmax5,CAC40,-0.9507123579752856,-0.07393959322601099,-0.07994494916301026,77
composite_T60_C50_Rmax5,DAX40,-0.4486121165693784,-0.04511478287125967,-0.08455708968489398,91
composite_T60_C50_Rmax5,FTSE250,-0.8709590732692973,-0.06515564922999195,-0.08973295433321474,90
composite_T60_C50_Rmax5,IBEX35,-0.5646988051009321,-0.026387816986049556,-0.06846381348229624,85
composite_T60_C50_Rmax5,UK100,-0.9832110721722234,-0.07968936046171132,-0.0922950248672624,92
composite_T60_C50_Rmax5,UK100_ETF,-1.1232206741353479,-0.08795099630648628,-0.101033920376428,94
composite_T60_C50_noR,CAC40,-0.9779534552045208,-0.11919951091554654,-0.13716888997742016,204
composite_T60_C50_noR,DAX40,-0.5081186961229097,-0.05893186177582496,-0.09744800372375825,201
composite_T60_C50_noR,FTSE250,-0.6495158585138985,-0.07621834332560928,-0.09787114138299707,184
composite_T60_C50_noR,IBEX35,-0.8040788115551142,-0.056662302854448954,-0.08960077973003006,185
composite_T60_C50_noR,UK100,-1.182200751945738,-0.11945637019871563,-0.1367864949426724,209
composite_T60_C50_noR,UK100_ETF,-1.355686686038224,-0.14069635429702138,-0.1567656588017034,217
composite_T60_C60_Rmax15,CAC40,-1.1692371439940534,-0.12967117283090637,-0.1465823923916071,164
composite_T60_C60_Rmax15,DAX40,-0.6816911759012813,-0.07165892015517317,-0.10787002505697532,169
composite_T60_C60_Rmax15,FTSE250,-0.7330309519620897,-0.08064346533815953,-0.10124502558864215,154
composite_T60_C60_Rmax15,IBEX35,-0.9511512706576128,-0.06312471027308228,-0.10225968051397208,149
composite_T60_C60_Rmax15,UK100,-1.1695400072253421,-0.12044251392176689,-0.13697638865641493,169
composite_T60_C60_Rmax15,UK100_ETF,-1.440971509045084,-0.14781084051887736,-0.1614041316246451,171
composite_T60_C60_Rmax5,CAC40,-0.8863187002477867,-0.0660303178642293,-0.07115510681937695,72
composite_T60_C60_Rmax5,DAX40,-0.5533592313722594,-0.04769196167023251,-0.08173516169145792,87
composite_T60_C60_Rmax5,FTSE250,-0.996725787036445,-0.07631043361282991,-0.09847398496094073,84
composite_T60_C60_Rmax5,IBEX35,-0.6324274519091752,-0.030006341470539794,-0.06856024671484012,76
composite_T60_C60_Rmax5,UK100,-0.8758160053245121,-0.06994514200192611,-0.08574661583849252,84
composite_T60_C60_Rmax5,UK100_ETF,-1.1216115057580232,-0.08376803365181892,-0.09510841840715284,86
composite_T60_C60_noR,CAC40,-0.9348246259781211,-0.10469060838564051,-0.12057348911820137,193
composite_T60_C60_noR,DAX40,-0.5899941048576388,-0.06019721607555842,-0.09306160187901838,202
composite_T60_C60_noR,FTSE250,-0.49839360853682346,-0.056623485301109805,-0.08457230472779181,181
composite_T60_C60_noR,IBEX35,-0.7740730184853211,-0.056499285935246,-0.08831830292448006,180
composite_T60_C60_noR,UK100,-1.0651662415705223,-0.10211350810192349,-0.11612304183457264,212
composite_T60_C60_noR,UK100_ETF,-1.2289734654460207,-0.11783455302138349,-0.13260162596019792,216
composite_T60_C70_Rmax15,CAC40,-1.4417537579516968,-0.13464993611635437,-0.1427679900614907,132
composite_T60_C70_Rmax15,DAX40,-1.044635650543916,-0.0901448429650826,-0.11302024824062737,133
composite_T60_C70_Rmax15,FTSE250,-0.42067632637296165,-0.041064727826812114,-0.06634093314345471,111
composite_T60_C70_Rmax15,IBEX35,-1.0391695986075697,-0.06280801171838904,-0.0875825460207724,114
composite_T60_C70_Rmax15,UK100,-1.2208443992330609,-0.10641044775105835,-0.12094521408080391,128
composite_T60_C70_Rmax15,UK100_ETF,-1.2234785504305679,-0.10417406081238265,-0.12045251366454235,132
composite_T60_C70_Rmax5,CAC40,-0.9272418716696995,-0.06157987497749917,-0.06832902411691716,53
composite_T60_C70_Rmax5,DAX40,-0.762605807915962,-0.05515094641196111,-0.08792479783333412,69
composite_T60_C70_Rmax5,FTSE250,-0.4621578998456957,-0.026352730401370622,-0.051347511085928665,57
composite_T60_C70_Rmax5,IBEX35,-0.6196042198130586,-0.0206453115500895,-0.05554014519778719,58
composite_T60_C70_Rmax5,UK100,-0.7456445881181295,-0.051457880993098504,-0.06951043125703668,65
composite_T60_C70_Rmax5,UK100_ETF,-0.8228080493103738,-0.05426334842699668,-0.06936789673136287,64
composite_T60_C70_noR,CAC40,-0.7585394018399189,-0.06619213396410528,-0.08529947010434008,168
composite_T60_C70_noR,DAX40,-0.5325327220394798,-0.04182864074056325,-0.06923324063146044,200
composite_T60_C70_noR,FTSE250,-0.4304141250871366,-0.037695665474763385,-0.06675132842384035,164
composite_T60_C70_noR,IBEX35,-0.4588457302164063,-0.014142234756902794,-0.05649674140301769,158
composite_T60_C70_noR,UK100,-1.089346933901147,-0.07855814572866171,-0.09324845863550957,191
composite_T60_C70_noR,UK100_ETF,-1.1581655116978107,-0.08022865559953715,-0.0946100997643983,191
composite_T70_C50_Rmax15,CAC40,-1.0857744992275422,-0.12845551993415974,-0.15521890937739102,171
composite_T70_C50_Rmax15,DAX40,-0.6362410733715472,-0.07421622021108934,-0.10694257225346229,177
composite_T70_C50_Rmax15,FTSE250,-0.7256785529586013,-0.0778657526074708,-0.10402011065089406,153
composite_T70_C50_Rmax15,IBEX35,-0.8668367517641714,-0.05439819762755657,-0.09685394104162312,148
composite_T70_C50_Rmax15,UK100,-1.2315740070995753,-0.12628997186726382,-0.1413118946309647,175
composite_T70_C50_Rmax15,UK100_ETF,-1.4970569518189931,-0.1496807456547325,-0.16674573492482905,181
composite_T70_C50_Rmax5,CAC40,-0.9368143465975792,-0.0726706940392556,-0.08219572467709804,71
composite_T70_C50_Rmax5,DAX40,-0.4666285230297812,-0.045749067486990036,-0.08193042863391847,88
composite_T70_C50_Rmax5,FTSE250,-0.8328459832601243,-0.05773588881556391,-0.08590619810713707,77
composite_T70_C50_Rmax5,IBEX35,-0.7437775369726085,-0.034468074098793905,-0.07541498183880083,80
composite_T70_C50_Rmax5,UK100,-1.0945972042159133,-0.08442215417629387,-0.09079268583282232,87
composite_T70_C50_Rmax5,UK100_ETF,-1.3035096036690483,-0.09564701405597206,-0.10869439336563988,88
composite_T70_C50_noR,CAC40,-1.0441641145691845,-0.1214617327763717,-0.1390636261233241,185
composite_T70_C50_noR,DAX40,-0.6611481606315814,-0.07926897231311683,-0.10415615940744014,191
composite_T70_C50_noR,FTSE250,-0.5724664832509067,-0.06771409057366548,-0.09406818513565474,168
composite_T70_C50_noR,IBEX35,-0.8374057095632288,-0.06012969632434004,-0.08692098650417684,167
composite_T70_C50_noR,UK100,-1.2209822311333933,-0.1214454464059998,-0.1347612876324813,193
composite_T70_C50_noR,UK100_ETF,-1.4692355244767064,-0.15177291850272617,-0.16310926176623344,207
composite_T70_C60_Rmax15,CAC40,-1.191816957600573,-0.13180696108912485,-0.15404955516523872,157
composite_T70_C60_Rmax15,DAX40,-0.7330040896070762,-0.07795602426710335,-0.1048575761704015,163
composite_T70_C60_Rmax15,FTSE250,-0.7058096436629208,-0.07636399203085459,-0.10517214498802044,144
composite_T70_C60_Rmax15,IBEX35,-0.9347231731065408,-0.06279355105288703,-0.1004202915888085,139
composite_T70_C60_Rmax15,UK100,-1.2735794989258495,-0.12890214261231853,-0.1403707373083818,164
composite_T70_C60_Rmax15,UK100_ETF,-1.5429544781455653,-0.1578482031052253,-0.17034712593898482,167
composite_T70_C60_Rmax5,CAC40,-0.8482933757527297,-0.06346148797154186,-0.07530182032238097,66
composite_T70_C60_Rmax5,DAX40,-0.4985975768471747,-0.04378100026483339,-0.07882988252007264,85
composite_T70_C60_Rmax5,FTSE250,-0.9392077196929226,-0.06816154527384716,-0.09507555789800753,75
composite_T70_C60_Rmax5,IBEX35,-0.6475594302825082,-0.028845351762409766,-0.06881347480529953,73
composite_T70_C60_Rmax5,UK100,-1.0481829517600745,-0.07988406153292793,-0.08936446024594485,82
composite_T70_C60_Rmax5,UK100_ETF,-1.316392663087289,-0.09383892242987485,-0.10252564548375084,83
composite_T70_C60_noR,CAC40,-0.9770992642551464,-0.10778036889705711,-0.12662367332731517,182
composite_T70_C60_noR,DAX40,-0.5849746460928124,-0.06072652785210003,-0.09013196061003748,191
composite_T70_C60_noR,FTSE250,-0.5191655036462631,-0.058693286173913284,-0.08967029399699447,165
composite_T70_C60_noR,IBEX35,-0.8207648713269315,-0.060384846337684345,-0.08895555180437104,169
composite_T70_C60_noR,UK100,-1.1813639869723995,-0.1120682688580994,-0.12081360336484817,204
composite_T70_C60_noR,UK100_ETF,-1.3246029700304565,-0.1269827990776298,-0.1405492060353674,209
composite_T70_C70_Rmax15,CAC40,-1.4802242302781359,-0.1363790122804121,-0.14568698939902053,130
composite_T70_C70_Rmax15,DAX40,-1.0208098800614147,-0.0888951363607918,-0.11070049441610208,132
composite_T70_C70_Rmax15,FTSE250,-0.4161040415005556,-0.04103132508852492,-0.06669107274636774,107
composite_T70_C70_Rmax15,IBEX35,-0.9855646770959684,-0.0604080601010179,-0.08345642342729337,111
composite_T70_C70_Rmax15,UK100,-1.2800922584636882,-0.11033507548397775,-0.12157064393797093,127
composite_T70_C70_Rmax15,UK100_ETF,-1.3127854158913967,-0.11118261757456144,-0.1241993296156336,129
composite_T70_C70_Rmax5,CAC40,-0.9261909406398291,-0.06125302968117338,-0.06800556073681263,52
composite_T70_C70_Rmax5,DAX40,-0.762605807915962,-0.05515094641196111,-0.08792479783333412,69
composite_T70_C70_Rmax5,FTSE250,-0.5058738752602314,-0.029896220574081367,-0.05300691644191527,55
composite_T70_C70_Rmax5,IBEX35,-0.6131676660372306,-0.020373182168679838,-0.055696377324170265,58
composite_T70_C70_Rmax5,UK100,-0.9083332088372968,-0.058096061789773196,-0.06968545450871519,64
composite_T70_C70_Rmax5,UK100_ETF,-1.011573033343091,-0.06319371778297941,-0.0724374285130733,63
composite_T70_C70_noR,CAC40,-0.7743338903440912,-0.06721111634156288,-0.086371325915546,163
composite_T70_C70_noR,DAX40,-0.5515448278823719,-0.043261078141225956,-0.06923324063146044,198
composite_T70_C70_noR,FTSE250,-0.41118522371740773,-0.03649561558839645,-0.06549073380294165,156
composite_T70_C70_noR,IBEX35,-0.44626046130957076,-0.014132197002503177,-0.0539971019889007,151
composite_T70_C70_noR,UK100,-1.0806726646040707,-0.07774025357768233,-0.09193202697690753,186
composite_T70_C70_noR,UK100_ETF,-1.1659081598956114,-0.08095127692735218,-0.09482838674943464,184
