name,require_risk_filter,T_enter,C_enter,R_max,symbol,window,n_trades,total_return,sharpe,max_dd
composite_T50_C50_noR,False,50.0,50.0,99.0,UK100,1,43,-0.18181443228615457,-2.2395248529454506,-0.18181443228615457
composite_T50_C50_noR,False,50.0,50.0,99.0,UK100,0,53,-0.13052357921279834,-1.341329293734448,-0.1448287166581036
composite_T50_C50_noR,False,50.0,50.0,99.0,UK100,2,41,-0.10295490330022461,-0.9656970479855486,-0.11767183434262396
composite_T50_C50_noR,False,50.0,50.0,99.0,DAX40,0,46,-0.05408553801169258,-0.4726184621066473,-0.09328891799773154
composite_T50_C50_noR,False,50.0,50.0,99.0,DAX40,1,34,-0.07373384267630823,-0.7831267941538039,-0.08990439980887055
composite_T50_C50_noR,False,50.0,50.0,99.0,DAX40,2,40,-0.11120470649913261,-0.9943186819505667,-0.1253246307239103
composite_T50_C50_noR,False,50.0,50.0,99.0,UK100,3,84,-0.07369968019758977,-0.3591798488144551,-0.1287723015832013
composite_T50_C50_noR,False,50.0,50.0,99.0,CAC40,1,37,-0.10140430309963744,-0.9977597410976772,-0.10874382733905341
composite_T50_C50_noR,False,50.0,50.0,99.0,CAC40,0,49,-0.09896214820928928,-0.9753555014291648,-0.12265509644902661
composite_T50_C50_noR,False,50.0,50.0,99.0,CAC40,2,46,-0.08869081382211186,-0.8047358029964188,-0.10681016478521221
composite_T50_C50_noR,False,50.0,50.0,99.0,IBEX35,1,27,-0.07859190261874138,-1.2379389066957087,-0.0848857021271181
composite_T50_C50_noR,False,50.0,50.0,99.0,IBEX35,0,47,-0.10536767755938092,-1.1363622118321453,-0.12237359278859739
composite_T50_C50_noR,False,50.0,50.0,99.0,DAX40,3,92,-0.014641055735474584,-0.04043783247899907,-0.07710560778945985
composite_T50_C50_noR,False,50.0,50.0,99.0,IBEX35,2,35,-0.09453163421392241,-1.139629254235186,-0.11241398083407061
composite_T50_C50_noR,False,50.0,50.0,99.0,CAC40,3,82,-0.18954411012146943,-1.091730984869813,-0.2167658607572397
composite_T50_C50_noR,False,50.0,50.0,99.0,FTSE250,1,35,-0.09883675614242804,-1.0352673953817213,-0.09883675614242804
composite_T50_C50_noR,False,50.0,50.0,99.0,FTSE250,0,46,-0.034244584605659156,-0.2911588250516696,-0.07919071548003664
composite_T50_C50_noR,False,50.0,50.0,99.0,FTSE250,2,37,-0.05902658301090702,-0.5461707121545106,-0.06732159513662317
composite_T50_C50_noR,False,50.0,50.0,99.0,UK100_ETF,1,40,-0.1716229509590972,-2.0074163025424543,-0.17598770440810985
composite_T50_C50_noR,False,50.0,50.0,99.0,UK100_ETF,0,58,-0.1610501807674265,-1.6059819954626877,-0.164608436210694
