name,require_risk_filter,T_enter,C_enter,R_max,n_symbols,n_pos_oos_sharpe,n_pos_oos_return,n_dd_under_35pct,mean_oos_sharpe,median_oos_sharpe,mean_oos_return,mean_oos_dd,robustness_score
composite_T50_C50_Rmax15,True,50.0,50.0,15.0,6,0,0,6,-0.9232998366528123,-0.9372294178604419,-0.09571950929300384,-0.12599470739390436,0.2
composite_T60_C60_noR,False,60.0,60.0,99.0,6,0,0,6,-0.8485708441457414,-0.854448822231721,-0.08299310947014361,-0.1058750610740437,0.2
composite_T70_C70_Rmax5,True,70.0,70.0,5.0,6,0,0,6,-0.7879574220056068,-0.8354695083766295,-0.04799385973477471,-0.06779275589300347,0.2
composite_T70_C70_Rmax15,True,70.0,70.0,15.0,6,0,0,6,-1.0825967505485266,-1.1504510692625516,-0.09137187114821432,-0.10871749225706472,0.2
composite_T70_C60_noR,False,70.0,60.0,99.0,6,0,0,6,-0.9013285403873349,-0.898932067791039,-0.08777268286608066,-0.10945738152315561,0.2
composite_T70_C60_Rmax5,True,70.0,60.0,5.0,6,0,0,6,-0.8830389529037831,-0.8937505477228261,-0.06299539487257248,-0.08498514021257607,0.2
composite_T70_C60_Rmax15,True,70.0,60.0,15.0,6,0,0,6,-1.0636479735080877,-1.063270065353557,-0.10594514569291895,-0.12920290519330596,0.2
composite_T70_C50_noR,False,70.0,50.0,99.0,6,0,0,6,-0.9675670372708337,-0.9407849120662066,-0.10029880948270335,-0.12034658442821843,0.2
composite_T70_C50_Rmax5,True,70.0,50.0,5.0,6,0,0,6,-0.8963621996241758,-0.8848301649288517,-0.0651154821121449,-0.08748906874256944,0.2
composite_T70_C50_Rmax15,True,70.0,50.0,15.0,6,0,0,6,-1.0071936393734051,-0.9763056254958569,-0.1018177346503788,-0.12851552714652736,0.2
composite_T60_C70_noR,False,60.0,70.0,99.0,6,0,0,6,-0.7379740707969832,-0.6455360619396993,-0.053107579377422255,-0.07760655649376107,0.2
composite_T60_C70_Rmax5,True,60.0,70.0,5.0,6,0,0,6,-0.7233437394454865,-0.7541251980170458,-0.044908348793502605,-0.06700330103706113,0.2
composite_T60_C70_Rmax15,True,60.0,70.0,15.0,6,0,0,6,-1.065093047189962,-1.1327400248884885,-0.08987533786501319,-0.10851824086861524,0.2
composite_T60_C60_Rmax5,True,60.0,60.0,5.0,6,0,0,6,-0.844376446941367,-0.8810673527861494,-0.06229203837859609,-0.08346325573871018,0.2
composite_T50_C50_Rmax5,True,50.0,50.0,5.0,6,0,0,6,-0.790783801625308,-0.8835058915344078,-0.0590043058820063,-0.08345261050546367,0.2
composite_T60_C60_Rmax15,True,60.0,60.0,15.0,6,0,0,6,-1.0242703431309108,-1.060194207325833,-0.10222527050632761,-0.12605627397204278,0.2
composite_T60_C50_noR,False,60.0,50.0,99.0,6,0,0,6,-0.9129257098967342,-0.8910161333798174,-0.09519412389452779,-0.11927349475976357,0.2
composite_T60_C50_Rmax5,True,60.0,50.0,5.0,6,0,0,6,-0.8235690165370775,-0.9108357156222915,-0.0630396998469183,-0.08600462531785093,0.2
composite_T60_C50_Rmax15,True,60.0,50.0,15.0,6,0,0,6,-0.9433546791686162,-0.9265764108384398,-0.09753509988431948,-0.1260622057303049,0.2
composite_T50_C70_noR,False,50.0,70.0,99.0,6,0,0,6,-0.7379740707969832,-0.6455360619396993,-0.053107579377422255,-0.07760655649376107,0.2
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,6,0,0,6,-0.7233437394454865,-0.7541251980170458,-0.044908348793502605,-0.06700330103706113,0.2
composite_T50_C70_Rmax15,True,50.0,70.0,15.0,6,0,0,6,-1.065093047189962,-1.1327400248884885,-0.08987533786501319,-0.10851824086861524,0.2
composite_T50_C60_noR,False,50.0,60.0,99.0,6,0,0,6,-0.8585307245862793,-0.8589002187935451,-0.08437912123994402,-0.10732704555679277,0.2
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,6,0,0,6,-0.8304536981799071,-0.8696080505649545,-0.06112412064023078,-0.0818834888454911,0.2
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,6,0,0,6,-1.0232091092562954,-1.0669803603823622,-0.1024049745390991,-0.12718503864791167,0.2
composite_T50_C50_noR,False,50.0,50.0,99.0,6,0,0,6,-0.921112450602052,-0.8910872861762626,-0.09621574599016668,-0.12044824895547773,0.2
composite_T70_C70_noR,False,70.0,70.0,99.0,6,0,0,6,-0.7383175379588539,-0.6629393591132315,-0.05329858959645383,-0.07697546934419848,0.2
