arm,long_thr,exit_thr,n_symbols,n_pos_oos_sharpe,n_pos_oos_return,n_dd_under_35pct,mean_oos_sharpe,median_oos_sharpe,mean_oos_return,mean_oos_dd,total_n_trades,robustness_score,phase
vol_long,50.0,40.0,6,3,3,6,-0.07035706430266413,-0.09607922952700353,-0.0016834905353270656,-0.03620820426517315,227,0.6000000000000001,phase1_walkforward
vol_long,50.0,30.0,6,3,3,6,-0.07035706430266413,-0.09607922952700353,-0.0016834905353270656,-0.03620820426517315,227,0.6000000000000001,phase1_walkforward
confidence_long,50.0,30.0,6,2,3,6,-0.09726909071547639,-0.12469853426535774,-0.0025542282277758316,-0.05028450242424674,383,0.5333333333333334,phase1_walkforward
confidence_long,50.0,40.0,6,2,3,6,-0.04852662125090091,-0.05886976976528176,0.001067130419645651,-0.0472666935822208,397,0.5333333333333334,phase1_walkforward
trend_long,70.0,50.0,6,2,2,6,-0.33578674475599907,-0.38626605659498825,-0.021051527716613793,-0.04949832557289574,289,0.4666666666666667,phase1_walkforward
trend_long,70.0,40.0,6,2,2,6,-0.36332622444532703,-0.39523242860508395,-0.022615354983870017,-0.05067286845551969,287,0.4666666666666667,phase1_walkforward
trend_long,70.0,30.0,6,2,2,6,-0.3776103319621516,-0.42555199093585366,-0.02369826207637867,-0.051386025860297856,287,0.4666666666666667,phase1_walkforward
trend_long,60.0,50.0,6,2,2,6,-0.09344197824692861,-0.10169985190441866,-0.005045270722068174,-0.03982584906059938,263,0.4666666666666667,phase1_walkforward
vol_long,70.0,40.0,6,1,2,6,-0.26007411736289004,-0.29583165401233313,-0.017944643518898493,-0.06385458384114673,458,0.4,phase1_walkforward
vol_long,70.0,30.0,6,1,2,6,-0.26007411736289004,-0.29583165401233313,-0.017944643518898493,-0.06385458384114673,458,0.4,phase1_walkforward
trend_long,60.0,40.0,6,1,2,6,-0.13812537689474633,-0.14643523254930668,-0.007443905043703199,-0.04182913696426704,254,0.4,phase1_walkforward
trend_long,60.0,30.0,6,1,2,6,-0.14844610713221704,-0.18066212903578094,-0.008171202625753729,-0.042202119402854975,252,0.4,phase1_walkforward
vol_long,70.0,50.0,6,1,2,6,-0.2582182355367682,-0.2976175993120727,-0.01767960964507985,-0.06385458384114673,459,0.4,phase1_walkforward
trend_long,50.0,30.0,6,1,1,6,-0.11703429009105204,-0.1819251294580554,-0.007530445658788266,-0.039081141602965545,235,0.33333333333333337,phase1_walkforward
confidence_long,60.0,30.0,6,1,1,6,-0.6041565994306076,-0.7243555994151275,-0.0449805053860163,-0.07449740227186798,500,0.33333333333333337,phase1_walkforward
confidence_long,60.0,40.0,6,1,1,6,-0.5948394074886586,-0.7123536407902844,-0.04482349369035902,-0.07432519455652258,501,0.33333333333333337,phase1_walkforward
trend_long,50.0,40.0,6,1,1,6,-0.09049649826141466,-0.1619200769268567,-0.005861281585467393,-0.037269159928879504,246,0.33333333333333337,phase1_walkforward
confidence_long,60.0,50.0,6,1,1,6,-0.5521771859161865,-0.6618474380167766,-0.03947251016060332,-0.06798063575923473,529,0.33333333333333337,phase1_walkforward
momentum_long,50.0,40.0,6,1,1,6,-0.30577524303029413,-0.3264680230853482,-0.026634300753406354,-0.06768507584404514,911,0.33333333333333337,phase1_walkforward
